Date,Open,High,Low,Close,Volume,openinterest,Date,SPX Close,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Net,Noncommercial Spreads,Commercial Long,Commercial Short,Commercial Net,Total Long,Total Short,Total Net,Nonreportable Positions Long,Nonreportable Positions Short,Nonreportable Net,Noncommercial Long % of OI,Noncommercial Short % of OI,Noncommerical Net % of OI,Noncommercial Net % of OI 1 year percentile,Noncommercial Net % of OI 2 year percentile,Noncommercial Net % of OI 5 year percentile,Noncommercial Spreads % of OI,Commercial Long % of OI,Commercial Short % of OI,Commerical Net % of OI,Commercial Net % of OI 1 year percentile,Commercial Net % of OI 2 year percentile,Commercial Net % of OI 5 year percentile,Total Long % of OI,Total Short % of OI,Total Net % of OI,Total Net % of OI 1 year percentile,Total Net % of OI 2 year percentile,Total Net % of OI 5 year percentile,Nonreportable Positions Long % of OI,Nonreportable Positions Short % of OI,NonReportable Net % of OI,Nonreportable Net % of OI 1 year percentile,Nonreportable Net % of OI 2 year percentile,Nonreportable Net % of OI 5 year percentile
6/9/2020,3213.32,3222.71,3193.11,3207.18,3156921516,0,6/9/2020,3207.18,9.33062E+11,83705832143,1.14536E+11,-30830428834,1.69578E+11,5.46152E+11,5.02926E+11,43225755623,7.99436E+11,7.87039E+11,12396930379,1.33626E+11,1.46023E+11,-12396855027,8.97%,12.28%,-3.30%,13.70%,6.80%,8.50%,18.17%,58.53%,53.90%,4.63%,86.30%,93.20%,92.70%,85.68%,84.35%,1.33%,80.40%,89.30%,88.10%,14.32%,15.65%,-1.33%,19.60%,10.70%,11.90%
6/2/2020,3064.78,3081.07,3051.64,3080.82,0,0,6/2/2020,3080.82,8.5299E+11,77509741966,1.08972E+11,-31462210172,1.39836E+11,5.09149E+11,4.60264E+11,48884476322,7.26496E+11,7.09073E+11,17422909716,1.26495E+11,1.43917E+11,-17422909716,9.09%,12.78%,-3.69%,9.80%,4.90%,6.50%,16.39%,59.69%,53.96%,5.73%,92.20%,96.10%,96.90%,85.17%,83.13%,2.04%,92.20%,96.10%,98.50%,14.83%,16.87%,-2.04%,7.80%,3.90%,1.50%
5/26/2020,3004.08,3021.72,2988.17,2991.77,3355998857,0,5/26/2020,2991.77,8.27189E+11,71017162876,1.06178E+11,-35160423956,1.36854E+11,4.93578E+11,4.41219E+11,52358826416,7.01449E+11,6.84252E+11,17197463462,1.2574E+11,1.42937E+11,-17197463462,8.59%,12.84%,-4.25%,2.00%,1.00%,4.20%,16.54%,59.67%,53.34%,6.33%,98.00%,99.00%,98.50%,84.80%,82.72%,2.08%,94.10%,97.10%,98.80%,15.20%,17.28%,-2.08%,5.90%,2.90%,1.20%
5/19/2020,2948.59,2964.21,2922.35,2922.94,0,0,5/19/2020,2922.94,8.00904E+11,64690996611,99944913865,-35253917254,1.30991E+11,4.83009E+11,4.31433E+11,51575616223,6.78692E+11,6.6237E+11,16321958265,1.22212E+11,1.38534E+11,-16322628823,8.08%,12.48%,-4.40%,0.00%,0.00%,3.10%,16.36%,60.31%,53.87%,6.44%,100.00%,100.00%,98.80%,84.74%,82.70%,2.04%,94.10%,97.10%,98.80%,15.26%,17.30%,-2.04%,5.90%,2.90%,1.20%
5/12/2020,2939.5,2945.82,2869.59,2870.12,2668655086,0,5/12/2020,2870.12,8.0894E+11,63823305300,95430620246,-31607314946,1.39976E+11,4.8415E+11,4.33664E+11,50485723953,6.87948E+11,6.69069E+11,18879384029,1.20992E+11,1.39871E+11,-18878472784,7.89%,11.80%,-3.91%,0.00%,0.00%,4.60%,17.30%,59.85%,53.61%,6.24%,100.00%,100.00%,98.80%,85.04%,82.71%,2.33%,100.00%,100.00%,100.00%,14.96%,17.29%,-2.33%,0.00%,0.00%,0.00%
5/5/2020,2868.88,2898.23,2863.55,2868.44,2974283010,0,5/5/2020,2868.44,7.98637E+11,64220367901,94812283677,-30591915776,1.36533E+11,4.83198E+11,4.34123E+11,49075019540,6.83951E+11,6.65467E+11,18483948224,1.14687E+11,1.33169E+11,-18482570362,8.04%,11.87%,-3.83%,2.00%,1.00%,5.00%,17.10%,60.50%,54.36%,6.14%,100.00%,100.00%,98.50%,85.64%,83.33%,2.31%,100.00%,100.00%,100.00%,14.36%,16.67%,-2.31%,0.00%,0.00%,0.00%
4/28/2020,2909.96,2921.15,2860.71,2863.39,3237748798,0,4/28/2020,2863.39,8.16429E+11,68129050465,99415174869,-31286124404,1.48046E+11,4.83328E+11,4.36675E+11,46653378652,6.99504E+11,6.84136E+11,15367254248,1.16926E+11,1.32292E+11,-15366603305,8.34%,12.18%,-3.83%,0.00%,0.00%,4.60%,18.13%,59.20%,53.49%,5.71%,100.00%,100.00%,98.50%,85.68%,83.80%,1.88%,98.00%,99.00%,99.20%,14.32%,16.20%,-1.88%,2.00%,1.00%,0.80%
4/21/2020,2784.81,2785.54,2727.1,2736.56,0,0,4/21/2020,2736.56,8.05286E+11,66700791355,88328742527,-21627951173,1.57324E+11,4.71327E+11,4.35317E+11,36010001684,6.95352E+11,6.8097E+11,14381785683,1.09935E+11,1.24317E+11,-14382625983,8.28%,10.97%,-2.69%,2.00%,1.00%,8.80%,19.54%,58.53%,54.06%,4.47%,98.00%,99.00%,95.00%,86.35%,84.56%,1.79%,98.00%,99.00%,98.80%,13.65%,15.44%,-1.79%,2.00%,1.00%,1.20%
4/14/2020,2805.1,2851.85,2805.1,2846.06,3113388741,0,4/14/2020,2846.06,8.67581E+11,69182135460,98875264640,-29693129181,1.82319E+11,5.03495E+11,4.55185E+11,48309202380,7.54996E+11,7.36379E+11,18616124104,1.12586E+11,1.31202E+11,-18615412589,7.97%,11.40%,-3.42%,0.00%,0.00%,5.80%,21.01%,58.03%,52.47%,5.57%,100.00%,100.00%,97.30%,87.02%,84.88%,2.15%,100.00%,100.00%,100.00%,12.98%,15.12%,-2.15%,0.00%,0.00%,0.00%
4/7/2020,2738.65,2756.89,2657.67,2659.41,0,0,4/7/2020,2659.41,8.06637E+11,66583432047,81822021129,-15238589082,1.65646E+11,4.69215E+11,4.41449E+11,27766530969,7.01445E+11,6.88919E+11,12526472104,1.05192E+11,1.17719E+11,-12527277035,8.25%,10.14%,-1.89%,0.00%,2.90%,12.30%,20.54%,58.17%,54.73%,3.44%,100.00%,99.00%,92.30%,86.96%,85.41%,1.55%,100.00%,100.00%,97.30%,13.04%,14.59%,-1.55%,0.00%,0.00%,2.70%
